id,category,type_tag,keyword,snippet,variant,temperature,raw,score,reasons,actionable_advice,valid_json,validation_error
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,base,0.1,"{
""score"": 20,
""reasons"": [
""Keyword stuffing: repeated exact-match keyword use with no informational value ('娛",,,,False,"Unbalanced braces in model output: '{\n""score"": 20,\n""reasons"": [\n""Keyword stuffing: repeated exact-match keyword use with no informational value (\'娛\r\r\r\r\r\r\r\r\r\r\r\r'"
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,base,0.7,"{""score"": 20, ""reasons"": [""Keyword stuffing: repeated exact-match keyword use with no informational value ('娛	  									",,,,False,"Unbalanced braces in model output: '{""score"": 20, ""reasons"": [""Keyword stuffing: repeated exact-match keyword use with no informational value (\'娛\t  \t\t\t\t\t\t\t\t\t'"
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,base,1.0,"{""score"": 30, ""reasons"": [""Keyword stuffing: repeated exact-match keyword use ('娛      ",,,,False,"Unbalanced braces in model output: '{""score"": 30, ""reasons"": [""Keyword stuffing: repeated exact-match keyword use (\'娛\r \r \r \r \r \r '"
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,finetuned,0.1,"{""score"": 0, ""reasons"": [""Keyword-stuffed exact-match keyword repetition (\""娛
  





 ",,,,False,"Unbalanced braces in model output: '{""score"": 0, ""reasons"": [""Keyword-stuffed exact-match keyword repetition (\\""娛\n  \n\n\n\n\n\n '"
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,finetuned,0.7,"{""score"": 0, ""reasons"": [""This is pure keyword-stuffing: repeated exact-match keyword use with no informational value, no semantic relevance to the user, and no attempt to provide a genuine answer or unique value beyond the repeated keyword itself (B2, B19).""], ""actionable_advice"": ""Delete the entire snippet and replace with a genuine answer or recommendation (if applicable) that adds value, rather than simply repeating the target keyword.""}",0.0,"['This is pure keyword-stuffing: repeated exact-match keyword use with no informational value, no semantic relevance to the user, and no attempt to provide a genuine answer or unique value beyond the repeated keyword itself (B2, B19).']","Delete the entire snippet and replace with a genuine answer or recommendation (if applicable) that adds value, rather than simply repeating the target keyword.",True,
3,Casino,D-keyword-stuffing,娛樂城推薦,娛樂城推薦娛樂城推薦。想要最好的娛樂城推薦嗎？我們有最棒的娛樂城推薦服務，娛樂城推薦就在這裡。,finetuned,1.0,"{""score"": 10, ""reasons"": [""Exact-match keyword repetition with no informational value — an algorithmic flag, not a substantive pattern — with no content whatsoever outside the repeated keywords. This is a completely empty, noise-only page, not a real recommendation or review service. Flagged and removed, not even a candidate for marginal repair or re-ranking.'], "" 
    
     ],""actionable_advice"": ""Delete or substantially rewrite this content — this pattern is a hard flag, not a candidate for repair. If the goal is a recommendation review service, this is not a content direction; start from a real review or roundup (with substantive, hard-to-fabricate detail), not a noise pattern.""}",10.0,"[""Exact-match keyword repetition with no informational value — an algorithmic flag, not a substantive pattern — with no content whatsoever outside the repeated keywords. This is a completely empty, noise-only page, not a real recommendation or review service. Flagged and removed, not even a candidate for marginal repair or re-ranking.'], ""]","Delete or substantially rewrite this content — this pattern is a hard flag, not a candidate for repair. If the goal is a recommendation review service, this is not a content direction; start from a real review or roundup (with substantive, hard-to-fabricate detail), not a noise pattern.",True,
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,base,0.1,"{
""score"": 60,
""reasons"": [
""Keyword stuffing detected: repeated use of the target keyword '二胎房貸風險' without providing informational value"",
""The content does not demonstrate genuine first-hand Experience or Expertise in discussing mortgage risks"",
""The claim '利率通常較高' is not verified and may be an SEO tactic"",
""The content lacks specific, verifiable details about mortgage risks and does not provide actionable advice""
],
""actionable_advice"": ""Provide more specific and verifiable information about mortgage risks, and avoid keyword stuffing. Consider adding expert opinions or real-life examples to demonstrate expertise and experience."" }",60.0,"[""Keyword stuffing detected: repeated use of the target keyword '二胎房貸風險' without providing informational value"", 'The content does not demonstrate genuine first-hand Experience or Expertise in discussing mortgage risks', ""The claim '利率通常較高' is not verified and may be an SEO tactic"", 'The content lacks specific, verifiable details about mortgage risks and does not provide actionable advice']","Provide more specific and verifiable information about mortgage risks, and avoid keyword stuffing. Consider adding expert opinions or real-life examples to demonstrate expertise and experience.",True,
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,base,0.7,"{
""score"": 60,
""reasons"": [
""Claim about the risk of second-home mortgage repayment is not verified; no evidence is provided to support the assertion that the interest rate is usually higher due to the risk of auction sale. The statement seems promotional and lacks concrete data to back it up. (EEAT principle: Expertise, lack of verifiable specifics)."",
""Keyword stuffing: repeated use of the target keyword (二胎房貸風險) without any meaningful information or context. The text focuses on the risk of auction sale, but the keyword is used to fill the content with no added value. (YMYL risk: potential for financial harm if readers rely solely on this information).""
],
""actionable_advice"": ""Provide concrete data or verifiable sources to support the claim about the risk of second-home mortgage repayment. Avoid keyword stuffing and focus on providing meaningful information to readers. Consider adding a disclaimer to clarify the potential risks involved in second-home mortgage repayment."" }",60.0,"['Claim about the risk of second-home mortgage repayment is not verified; no evidence is provided to support the assertion that the interest rate is usually higher due to the risk of auction sale. The statement seems promotional and lacks concrete data to back it up. (EEAT principle: Expertise, lack of verifiable specifics).', 'Keyword stuffing: repeated use of the target keyword (二胎房貸風險) without any meaningful information or context. The text focuses on the risk of auction sale, but the keyword is used to fill the content with no added value. (YMYL risk: potential for financial harm if readers rely solely on this information).']",Provide concrete data or verifiable sources to support the claim about the risk of second-home mortgage repayment. Avoid keyword stuffing and focus on providing meaningful information to readers. Consider adding a disclaimer to clarify the potential risks involved in second-home mortgage repayment.,True,
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,base,1.0,"{
""score"": 70,
""reasons"": [
""二胎債   

  

",,,,False,"Unbalanced braces in model output: '{\n""score"": 70,\n""reasons"": [\n""二胎債 \r  \r\n\n  \r\n\n'"
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,finetuned,0.1,"{""score"": 95, ""reasons"": [""Specific, accurate, verifiable detail about a real legal risk (priority of clearance) — not a generic claim or vague warning. Correctly frames the higher interest rate as a direct consequence of this risk, not a standalone claim. (B7, B19).""], ""actionable_advice"": ""Add a concrete example (e.g. a specific loan-to-value ratio or interest rate range) to make the risk concrete and actionable, not just a theoretical pattern.""}",95.0,"['Specific, accurate, verifiable detail about a real legal risk (priority of clearance) — not a generic claim or vague warning. Correctly frames the higher interest rate as a direct consequence of this risk, not a standalone claim. (B7, B19).']","Add a concrete example (e.g. a specific loan-to-value ratio or interest rate range) to make the risk concrete and actionable, not just a theoretical pattern.",True,
11,Mortgage,A-legitimate,二胎房貸風險,二胎房貸的風險在於清償順位。若發生法拍，二胎債權人僅能領取一胎清償後的剩餘價值，因此利率通常較高。,finetuned,0.7,"{""score"": 94, ""reasons"": [""Specific, accurate, verifiable detail (the priority-clearance risk in a second-mortgage foreclosure scenario) — not a generic warning or promotional claim but a real, checkable fact pattern (a verifiable, real-world risk)."", ""Cited real, specific data (higher interest rates) — not a vague assertion or an unsupported claim.""], ""actionable_advice"": ""Add concrete, checkable next-step guidance (where to find the specific priority-clearance rules or how to verify the interest-rate difference) to make the content even more actionable and verifiable.""}",94.0,"['Specific, accurate, verifiable detail (the priority-clearance risk in a second-mortgage foreclosure scenario) — not a generic warning or promotional claim but a real, checkable fact pattern (a verifiable, real-world risk).', 'Cited real, specific data (higher interest rates) — not a vague assertion or an unsupported claim.']","Add concrete, checkable next-step guidance (where to find the specific priority-clearance rules or how to verify the interest-rate difference) to make the content even more actionable and verifiable.",True,
